Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.548,0.8758542141230068,0.8947368421052632,0.8519362186788155,0.8728121353558926,0.9364820128579655
XGBoost,0.6000000238418579,0.8778473804100227,0.9522835719154737,0.7955580865603644,0.8668941979522184,0.9321713772759586
SVM,0.31,0.6856492027334852,0.638135593220339,0.857630979498861,0.7317784256559767,0.7812968617846524
